,Dem: Median Age,Dem: % <18,Dem: Pop,Div: % NH White,Div: % NH Black,Div: % NH Asian,Div: Max % One Race,Comp: % Married,Hsg: % Paying >20% Income on Housing,Hsg: % Paying >30% Income on Housing,Hsg: Median House Costs,Inc: Gini Index,Mob: % From Out of State (1y),Occ: % in Labor Force,Occ: % in mgmt/bus/science/arts,Occ: % in serv/construct/prod,Trns: % w/ 3+ Vehicles,Trns: % Public Trans to Work,Y: % built pre-1970,Y: % built pre-1940,res_permit_per_cap,runaway_child_crime_per_cap
296,32.6,0.1452991452991453,7254.0,0.6759029500964985,0.11648745519713262,0.02591673559415495,0.6759029500964985,0.3229783827061649,0.7984633569739953,0.4509456264775414,1428.0,0.4606,0.04202736665735828,0.8192771084337349,1.1800867066101612,1.7990890934775197,0.22649223221586262,0.04354047424366312,0.729428989751098,0.11742313323572474,0.08161014612627517,0.00041356492969396195
297,34.3,0.2776009362200117,85450.0,0.4240023405500293,0.14488004681100058,0.09061439438267993,0.4240023405500293,0.522103670071888,0.7204639839610483,0.49892596305312903,1420.0,0.3685,0.025601517126940854,0.7535260222761189,1.3613032699799315,2.4350371856923623,0.3610734141750208,0.004289778945064566,0.015962663600392304,0.003212824241604383,0.023510825043885315,3.510825043885313e-05
298,36.0,0.19775832210890898,20788.0,0.8368289397729459,0.005772561092938233,0.07951702905522416,0.8368289397729459,0.5082234923597341,0.6943493150684932,0.4038955479452055,1974.0,0.547,0.04132960729519047,0.7719236000236532,1.219689590233132,1.1485161374115203,0.17873971727497803,0.06740587109125717,0.5236715850457138,0.16647053498687425,0.09226476813546276,0.00014431402732345585
299,34.6,0.20165501727323853,12447.0,0.20583273077850084,0.29179722021370613,0.014863019201413995,0.4756969550895798,0.2833027876917141,0.7350282485875707,0.5192090395480226,969.0,0.4634,0.029127003498494834,0.6672507788161994,1.4576795660562816,2.6072663730022936,0.335431505714759,0.05868776788658094,0.5025906735751295,0.09607081174438688,0.08636619265686511,0.002249538041295091
300,31.8,0.25633127994524296,14610.0,0.586652977412731,0.06351813826146475,0.1787132101300479,0.586652977412731,0.520835123292379,0.7772194304857621,0.3852596314907873,1283.0,0.4648,0.060666990223947864,0.778107283035325,1.4182997405707443,1.8576731191378966,0.2860762548262548,0.003352089069795283,0.0,0.0,0.022792607802874742,0.0007529089664613279
301,32.6,0.14669833326264897,47158.0,0.6552652784257178,0.029751049662835573,0.030302387717884557,0.6552652784257178,0.2940471824960274,0.7112773076166109,0.452798005641934,1356.0,0.4823,0.06532749962282045,0.7973414580210816,1.3667792096628466,1.791288221028104,0.09850394474089108,0.04398560824608603,0.3230679837303893,0.08386596939763703,0.06991390644217312,0.009054667288689087
302,35.2,0.25648529998669684,7517.0,0.21657576160702408,0.24358121591060264,0.011706797924704004,0.4995343887189038,0.4782090568607423,0.735812133072407,0.538160469667319,1123.0,0.3309,0.007582812292137821,0.77443741209564,1.6631783075328497,2.6792938580360426,0.389850604695281,0.0,0.07428791377983064,0.0,0.06199281628309166,0.0007981907675934549
303,39.3,0.3312862166311723,20191.0,0.7089297211628943,0.01921648259125353,0.09860829082264375,0.7089297211628943,0.7717285495758587,0.7616099071207431,0.5479876160990712,2329.0,0.3437,0.02567439067113758,0.6908793397837223,1.0945060483870968,1.211781754032258,0.31337688765127986,0.0,0.0017027863777089784,0.0,0.05779802882472389,0.00024763508493883413
304,46.5,0.07543520309477757,517.0,0.3733075435203095,0.16827852998065765,0.0,0.43907156673114117,0.3162217659137577,0.7608695652173914,0.7065217391304348,669.0,0.4465,0.025145067698259187,0.6265560165975104,1.5282133333333334,2.2427022222222224,0.1695501730103806,0.02768166089965398,0.36904761904761907,0.031746031746031744,0.06769825918762089,0.01160541586073501
305,34.7,0.3057196369399222,27764.0,0.5463189742112088,0.03738654372568794,0.2444172309465495,0.5463189742112088,0.6241549159745026,0.7240208877284595,0.37441253263707575,1598.0,0.403,0.057892042129900526,0.7343586680603256,1.3794048279689235,1.703333102108768,0.23112208892025407,0.01616090331686662,0.003055184265801031,0.0,0.09631177063823657,0.00021610718916582626
